Ontology Name,Experiment Type,Division Ontology Time (ms)
Adolena,INCONSISTENCY_THREAT,5
Adolena,PREDICATE_SAT,0
Adolena,PREDICATE_SAT,0
Adolena,QUERY_SAT,0
