Ontology Name,Experiment Type,Negative Inclusion Rewrite Time (ms)
Adolena,INCONSISTENCY_THREAT,0
Adolena,PREDICATE_SAT,2214
Adolena,PREDICATE_SAT,2283
Adolena,QUERY_SAT,2213
